,street,zipcode,bathrooms,bedrooms,description,latitude,sqft,longitude,price,url,yearBuilt,neighborhood
10,5904 Russell Ave S,55410,2,3,"Beautiful, move-in ready starter home in Armatage. Freshly updated, hardwood floors, finished LL, deck/fenced yard. Prime location - blocks to SW high school, walk to Pizzeria Lola, and numerous parks. Enjoy convenient highway access and all of the amenities SW Mpls has to offer!",44.8959,1621,-93.31156899999999,349900,https://www.zillow.com/homedetails/5904-Russell-Ave-S-Minneapolis-MN-55410/1886599_zpid/,1951,"Armatage, Minneapolis"
11,6112 Sheridan Ave S,55410,2,4,"Beautiful updated 1.5-story in an excellent location! Convenient access to Highway 62, close to amenities including grocery, schools, restaurants, parks & more! Freshly painted interior with neutral tones! Spacious living room with cozy wood-burning fireplace & access to a wonderful deck. Generously sized sun-filled dining room with hardwood floors. Kitchen has new stainless-steel appliances, tile floor, good storage, breakfast bar & eat-in area. 2 main level bedrooms with hardwood floors & a full bath. Upper level has 2 bedrooms with new carpet, half bathroom & excellent closet storage! Lower level family room, laundry & more great storage space. Fully fenced backyard & a detached 2+ car garage. New siding in 2016, landscaping in 2017, deck stained in 2020 & more!",44.892035,1883,-93.312837,369900,https://www.zillow.com/homedetails/6112-Sheridan-Ave-S-Minneapolis-MN-55410/1887157_zpid/,1952,"Armatage, Minneapolis"
12,5729 Morgan Ave S,55419,2,4,"Great location just three blocks to Armatage park. Needs updates BUT new roof going on house and garage now!  Newer Andersen windows and storm door, HWF under carpet, 2-car garage built in 2001, cement drive and patio.  Upper level w/newer finishes - white panel doors, white trim and built-ins, lighted closets and ceiling fans. Foam insulation installed when finished.  Gas range, Bosch dishwasher, white appliances. Basement has flooring, washer, dryer and shower, newer glass-block windows. 2nd w/d combo ""Asko""unit in main fl bath. Lawn has sprinkler system. Good bones, just needs your updates.",44.898813,1170,-93.30449499999999,339900,https://www.zillow.com/homedetails/5729-Morgan-Ave-S-Minneapolis-MN-55419/1896248_zpid/,1947,"Armatage, Minneapolis"
13,5925 Washburn Ave S,55410,2,4,"WOW, amazing 2-story home right in Armatage. Convenient location with access to shopping/hwys/dining/parks. We have updates! Fully remodeled kitchen-including stainless steel appliances, soft close drawers, LVP flooring. New carpet and paint 2020, bathroom fitter 2019, blown insulation 2017, water heater 2019, new electrical + new lighting 2019. Exterior of the home painted as well as the deck, new vinyl siding, concrete step and sidewalk + custom columns 2018. Potential for more space with an unfinished basement. Everything is clean and move-in ready!",44.895389,1590,-93.317194,349900,https://www.zillow.com/homedetails/5925-Washburn-Ave-S-Minneapolis-MN-55410/1886835_zpid/,1972,"Armatage, Minneapolis"
14,5908 Morgan Ave S,55419,3,4,"Remarkable home exceptionally renovated throughout with attention to detail with distinct quality finishes. located in a highly sought fabulous Armitage neighborhood, walking distance to Armitage Park, eateries of 54th /50th, 54th/Lyndale, close to Southdale Mall and downtown. Enjoy the new cozy open layout sunroom/dining addition with lots of natural lights and walk-out access to private backyard. Contemporary soft finished kitchen design with quartz countertops, stainless steel appliances and a large eating counter is a Must See! Gleaming hardwood floors, spacious owner suite with stunning en-suite bath and built-ins, main level & basement level redesigned full baths with dazzling tile work, huge lover level family room ideal for entertaining, guest bedroom and office space are amenities you can enjoy. Just like new construction, the home offers all new Anderson Windows, new mechanicals, new plumbing electrical, and brand new spacious 2 car garage. Impressive & Stunning!!!",44.895686,2130,-93.30508499999999,429900,https://www.zillow.com/homedetails/5908-Morgan-Ave-S-Minneapolis-MN-55419/1896699_zpid/,1951,"Armatage, Minneapolis"
15,5926 Penn Ave S,55419,4,6,"5926 Penn Ave S, Minneapolis, MN is a single family home that contains 3,300 sq ft and was built in 1947. It contains 6 bedrooms and 4 bathrooms. This home last sold for $325,000 in June 2020. 
 
The Zestimate for this house is $700,001, which has increased by $46,756 in the last 30 days. The Rent Zestimate for this home is $1,850/mo, which has increased by $47/mo in the last 30 days.",44.895206,3300,-93.30904,699999,https://www.zillow.com/homedetails/5926-Penn-Ave-S-Minneapolis-MN-55419/1886636_zpid/,1947,"Armatage, Minneapolis"
16,5615 Penn Ave S,55419,1,1,"This 440 square foot single family home has 1 bedrooms and 1.0 bathrooms. It is located at 5615 Penn Ave S Minneapolis, Minnesota.",44.901059000000004,440,-93.308242,196311,https://www.zillow.com/homedetails/5615-Penn-Ave-S-Minneapolis-MN-55419/1896102_zpid/,1928,"Armatage, Minneapolis"
17,1106 26th Ave NE,55418,2,3,"Old world charm, two (2) story, 2 full bath, 3 bedroom, home located in Northeast Minneapolis.  Home is conveniently located minutes from Downtown Minneapolis,  near a bus line.  Neighborhood features food co-op, bakery, and restaurants.  Hardwood floors throughout, plus a claw foot tub.  Home has been diligently maintained  by owner, who has installed furnace, central air conditioning, a garage door with automatic garage door opener, insulated throughout, new roof in 2016, installed  stained glass windows in upper bedroom, obtained an alarm system, new screens, and painted the exterior and interior.  The back yard is fenced on 3 sides, and  good for entertaining.",45.014759000000005,1248,-93.243323,265000,https://www.zillow.com/homedetails/1106-26th-Ave-NE-Minneapolis-MN-55418/1804149_zpid/,1900,"Audubon Park, Minneapolis"
18,2723 Lincoln St NE,55418,1,3,"Audubon Park stunner! Pride of ownership shows throughout. There have been only 2 owners since it was built in 1941. Beautiful brick wood-burning fireplace, 3 season porch, hardwood floors, updated bathroom. Basement features high ceilings and a roughed-in bathroom, making future expansion easy. Many significant recent updates, including roofs and HVAC. Located by a downtown express bus line, only 1 block from the park, and close to the popular Johnson Street business district. You won't have far to walk for coffee, shopping, and restaurants!",45.017661,1273,-93.238034,289900,https://www.zillow.com/homedetails/2723-Lincoln-St-NE-Minneapolis-MN-55418/1803807_zpid/,1941,"Audubon Park, Minneapolis"
19,2922 Lincoln St NE,55418,2,3,"This charming, clean Craftsman also has location, location, location--just 1 block from Audubon Park, and right around the corner from Johnson Street merchants! Pride of ownership & attention to detail is apparent throughout. Luxe bathroom remodel, gigantic 2.5 car garage, natural woodwork, & cozy breakfast nook. Relax on the backyard patio in the summer & in front of the wood burning fireplace in the winter. Updates are too numerous to list, but include new roof, refinished hardwood floors, modern paint colors, & extensive energy efficient improvements. All this, & just a block from the Grand Rounds Scenic Byway System & the express bus downtown!",45.021127,1264,-93.238749,295000,https://www.zillow.com/homedetails/2922-Lincoln-St-NE-Minneapolis-MN-55418/1697793_zpid/,1923,"Audubon Park, Minneapolis"
20,2504 Garfield St NE,55418,3,3,"Rare, full two story craftsman home on beautiful Garfield St in Northeast Minneapolis. Home has only had 3 owners. So many great hard to find features. Hardwood floors under carpeting on both main and upper levels. Main level has natural woodwork, build-in hutch, wood burning fireplace, build-in bookshelves, a study area or home office, formal dining room, 3 season porch, 3/4 bathroom and kitchen has large bay window with tons of natural lighting. Upper level has 3 large bedrooms, a full bathroom, plus a hobby room or additional home office with a walkout to garage rooftop. Lower level has a ton of potential, it is unfinished with tall ceilings, has a enclosed 1/2 bath, laundry area and two storage rooms.  The front yard has a three tier wood retaining wall that is nicely landscaped with newer concrete steps and railing. The backyard has a newer 3 stall garage with additional parking for that boat or camper and wood fenced in area. Bring your updates and make this you forever home!",45.013427,1554,-93.23339200000001,297500,https://www.zillow.com/homedetails/2504-Garfield-St-NE-Minneapolis-MN-55418/1803427_zpid/,1924,"Audubon Park, Minneapolis"
21,2559 Cleveland St NE,55418,1,3,"Here's a real gem in the heart of Northeast. 2 Story, 3 bedroom home which has had the same owners for 37 years that shows pride of ownership. 3 nice sized bedrooms on one level with hardwood floors. Home has had much updating which includes a great updated kitchen and cabinetry, all freshly painted throughout, full bath, windows have been updated over the years, and a new roof just put on in July 2020. Other features include a Lennox plus 90 furnace, central-air, finished basement with a sauna and a nicely landscaped fenced-in yard. The patio door leads to the huge deck which is home of the Grill-Master!! You'll love to Barbecue here! 3 Metro Transit Bus lines within walking distance on Lowry Ave, Stinson Blvd and Johnson Street.  This is a Northeast Classic and a wonderful place to call home!",45.014875,1560,-93.230345,317000,https://www.zillow.com/homedetails/2559-Cleveland-St-NE-Minneapolis-MN-55418/1803677_zpid/,1925,"Audubon Park, Minneapolis"
22,2634 Benjamin St NE,55418,1,3,"**Multiple offers received. Highest and best by 5:00pm August 30, 2020** Exceptional home in a wonderful NE neighborhood! This home features: A fireplace in the living room, formal dining room, a bright and cheery 3-season porch and a knotty pine upper level expansion! Hardwood floors, crown molding, newer kitchen floor, remodeled bath, walk-in  shower, new windows, and wonderfully landscaped yard with many plantings!",45.016031,1354,-93.229805,324900,https://www.zillow.com/homedetails/2634-Benjamin-St-NE-Minneapolis-MN-55418/1803520_zpid/,1939,"Audubon Park, Minneapolis"
23,3024 Buchanan St NE,55418,2,4,"Beautifully updated split-level home in great northeast location, just off St. Anthony Parkway and one block from Audubon Park.  This home has an open floor plan, a modern feel and has been completely remodeled. Terrific new kitchen including all new stainless appliances.  Tastefully updated main floor and lower level baths. New flooring, new windows, updated electric and paint throughout.  Great new deck with sliding glass doors that opens to dining/kitchen area. Large 2+ car garage with awesome attached to be finished studio space with sliding glass doors leading to attached paver patio with pergola.  2 BR up and 2 BR down.  Lower level family room with wet bar. Steps from Hazels and Johnson St. NE business district.  Convenient to walking, bike, bus and commute to U of M and downtown Minneapolis.  This home is gorgeous and in move-in condition.",45.022915000000005,1628,-93.240049,359000,https://www.zillow.com/homedetails/3024-Buchanan-St-NE-Minneapolis-MN-55418/1697894_zpid/,1979,"Audubon Park, Minneapolis"
24,2723 Pierce St NE,55418,1,3,"1.5 story in high demand NE Mpls, Audubon neighborhood.  Upgrades include newer central air and second floor laundry.  Large kitchen, deck, and 2-car garage.  Near schools, restaurants, bus lines and freeway.",45.017598,1013,-93.24060300000001,249900,https://www.zillow.com/homedetails/2723-Pierce-St-NE-Minneapolis-MN-55418/1803760_zpid/,1907,"Audubon Park, Minneapolis"
25,2957 Pierce St NE,55418,1,3,"This Tudor style home for sale in the prime Audubon Park area of Northeast Minneapolis has the curb appeal reminiscent of a storybook. Freshened lush landscaping offers character and charisma to delight the eyes! Recently remodeled in 2018 with warm wood flooring wandering through the main level, brand new stainless steel appliances in the kitchen with quartz countertops that overhang for additional seating, and a mix of different wood types with creamy cabinetry that set off the neutral tones to perfection. All plumbing and electric is brand new! Relax in front of the gas fireplace surrounded in stunning stone that makes a statement in the living room. The entire upper level has been converted to a marvelous master bedroom complete with a sitting area in the massive walk-in closet and work from home office. Delightful and ready for a new beginning!",45.022099,1459,-93.24056999999999,339900,https://www.zillow.com/homedetails/2957-Pierce-St-NE-Minneapolis-MN-55418/1697865_zpid/,1931,"Audubon Park, Minneapolis"
26,1209 29th Ave NE,55418,3,4,"Rare opportunity to own an extensively renovated home overlooking Audubon Park in NE Minneapolis. This house scored  99 out of 100 possible points for energy efficiency on the Mpls Truth in Sale of Housing report. Home was renovated down to the studs with new wiring, plumbing, insulation, windows, & woodwork including a custom staircase.  The fabulous owner's suite upstairs includes a private en suite bath, walk-in closet, & loft area creating an upstairs getaway. Don't forget to check out the deck off the owner's suite overlooking the park. The main floor features hardwood floors, a spacious dining room, 2 nicely sized bedrooms, a full bath, & a kitchen with granite countertops & stainless appliances. The lower level includes the 4th bedroom, a 3/4 bath, & a family room perfect for the ultimate movie night - plus multiple finished & unfinished storage areas.  NEW furnace, central air, & water heater. Walk to local shops, restaurants, & breweries, or simply enjoy the park.",45.020614,2723,-93.241744,409900,https://www.zillow.com/homedetails/1209-29th-Ave-NE-Minneapolis-MN-55418/1697877_zpid/,1923,"Audubon Park, Minneapolis"
27,2614 Polk St NE,55418,3,3,"This 2246 square foot single family home has 3 bedrooms and 3.0 bathrooms. It is located at 2614 Polk St NE Minneapolis, Minnesota.",45.015485,2246,-93.246065,383713,https://www.zillow.com/homedetails/2614-Polk-St-NE-Minneapolis-MN-55418/1804088_zpid/,1900,"Audubon Park, Minneapolis"
28,3821 16th Ave S,55407,1,4,"This home is beautiful and full of character from top to bottom. Gorgeous floors and natural woodwork, beautiful built-in buffet, staircase and trim work throughout. New windows are almost completed. Large kitchen with newer appliances. Four bedrooms on one level, and one of the bedrooms walks out to the balcony deck that has some great views of the neighborhood. The garage is large and newly updated. I know it's a holiday weekend, but don't miss this one!",44.933337,1704,-93.25077900000001,300000,https://www.zillow.com/homedetails/3821-16th-Ave-S-Minneapolis-MN-55407/1790029_zpid/,1914,"Bancroft, Minneapolis"
29,3901 12th Ave S,55407,3,4,"Bright, beautiful craftsman bungalow!  So spacious as you enter the front door. Full entry closet for easy coat/shoe storage.  Hardwood flooring throughout the main level with a gorgeous stain color.  Corner location allows for light to flow through the living space. Renovated upper level master bath with meticulous attention to detail including double sinks, a walk-in shower & heated floors.  Sitting area located in the upper level master bedroom could serve as a home office. Lower level has been completely finished with a large space for games, movies & entertaining guests.  Custom cabinetry, wainscot, surround sound & recess lighting make this space feel complete & inviting. 4th bedroom in the LL is great for a guest bedroom or home office as there is also a 3/4 bath on this level. Fenced backyard is a great spot to dine outdoors or relax with a good book or a campfire with friends.  Bike/walk along Minnehaha Creek, Minneapolis chain of lakes or all the shops/restaurants close by!",44.932203,2307,-93.25706,375000,https://www.zillow.com/homedetails/3901-12th-Ave-S-Minneapolis-MN-55407/1790355_zpid/,1920,"Bancroft, Minneapolis"
30,4017 Elliot Ave,55407,1,2,"Welcome to this adorable new listing nestled on a quiet residential block  This home boasts a newly renovated kitchen, remodeled bathroom, updated light fixtures, original hardwood floors, gorgeous natural woodwork, original built-in buffet, an impressive open air front porch, 2 spacious bedrooms on the second level, a fenced backyard with a size-able patio, 2 car detached garage, and an unfinished basement with huge ceilings, an egress window and loads of opportunity to finish more space.  This home perfectly complements the original charm with the sleek, modern updates.  Additionally, the location offers some of the best access to bike lanes and walkability in the city. Access Bicycle Blvd at the end of the street and take it east to the river, west to Lake Harriet,or jump on Park and Portland to head North or South to access the entire City. Walk to Phelps Park, the dog park at 42nd, & the shops and restaurants at 48th & Chicago. Schedule a showing today before this home is SOLD.",44.929961,1198,-93.26088399999999,275000,https://www.zillow.com/homedetails/4017-Elliot-Ave-Minneapolis-MN-55407/1791548_zpid/,1916,"Bancroft, Minneapolis"
31,3949 14th Ave S,55407,2,2,"Welcome home to this beautiful, move-in ready home in the Bancroft neighborhood. This home offers a nicely updated kitchen complete with stainless steel appliances and gas range. The spacious living room opens up to a large dining room. Work from home in the bright main floor home office. Two nice sized bedrooms with ample closet space. Enjoy time at home in all seasons with a sweet and sun-filled front porch as well as a great backyard space. Home is complete with a newly re-sided garage and lots of off street parking space. Located near great parks, trails, and restaurants!",44.930892,1125,-93.254572,285000,https://www.zillow.com/homedetails/3949-14th-Ave-S-Minneapolis-MN-55407/1790285_zpid/,1911,"Bancroft, Minneapolis"
32,3824 Elliot Ave,55407,1,3,"Welcome home to this move in ready, updated, 1.5 Story in Bancroft! Who says you have to choose between vintage charm and modern updates? This home has it all and seamlessly blends period touches like buffet and bookshelf built ins in formal dining room, with modern updates like concrete epoxy counters in kitchen and vessel sink in the bathroom! Both kitchen and bathroom recently updated. Gleaming maple wood floors and oak woodwork throughout are original and beautifully maintained. Many bonus living spaces in this home from the wonderful three season front porch, the front entrance mud room, freshly repainted deck in the back yard for summer evenings, and delightful sun room off of the master bedroom. Two bedrooms and full bathroom on upper level. 3rd bedroom, office/bonus/zoom room, and laundry in lower level. Fully fenced back yard with a storage shed. This is the one you have been looking for!! NEW FURNACE, WATER HEATER, AND A/C!!",44.933303,1494,-93.26158199999999,274500,https://www.zillow.com/homedetails/3824-Elliot-Ave-Minneapolis-MN-55407/1790927_zpid/,1909,"Bancroft, Minneapolis"
33,4114 Cedar Ave S,55407,2,2,"This charming Bancroft home is much larger than it appears on the exterior. It features hardwood floors, an updated kitchen, central air, and a lower level family room. You'll love the huge owner's bedroom upstairs with high vaulted ceilings, a gas fireplace and enough space that it doubles as a secondary living room or an expansive office space. Just a few blocks from Hiawatha Golf Course and 7 blocks to Minnehaha Creek, this location offers plenty of opportunity for outdoor recreation.",44.928104,1549,-93.24771899999999,249900,https://www.zillow.com/homedetails/4114-Cedar-Ave-S-Minneapolis-MN-55407/1790751_zpid/,1926,"Bancroft, Minneapolis"
34,1405 E 40th St APT 9F,55407,1,1,"Lakes Nokomis/Hiawatha/Powderhorn area. 2nd Floor East Exposure w/Private Balcony. Cats Ok, Rentals Ok. Off-Street Parking for 2, Heated In-Ground Pool, Storage Locker. Newer Sliding Glass Door, Custom Window Blinds, Ceiling Fans and Newer Wall Air Conditioner. Right outside your Front Door is the Bicycle Blvd that runs from Lake Harriet to the mighty Mississippi. Also Near multiple Bus Lines. Security Building w/On-Site Caretaker. Newer Laundry Rooms. Assoc Fee Covers all UTILS sans Elect. This unit is ready for your decorating ideas. Strong Association w/no pending future project assessments planned.",44.929631,642,-93.254295,109900,https://www.zillow.com/homedetails/1405-E-40th-St-APT-9F-Minneapolis-MN-55407/1790611_zpid/,1965,"Bancroft, Minneapolis"
35,3825 18th Ave S,55407,2,3,"Wonderful 3 bedroom/2 bath home bungalow with newer mechanicals, plumbing, cabinets and windows. Check out the refreshed main floor hardwood floors built-ins, new paint throughout, and new carpet in huge upper level playroom(6.5 ft ceilings), lower level  family room and bedroom. Home was completely remodeled in 2013 with spray foam insulation in upper level. Clean TISH found in supplements. Come make this conveniently located house your new home!",44.933213,2097,-93.248254,299900,https://www.zillow.com/homedetails/3825-18th-Ave-S-Minneapolis-MN-55407/1790094_zpid/,1919,"Bancroft, Minneapolis"
36,3848 Elliot Ave,55407,2,3,"Welcome to this beautiful and well-maintained 1.5 story home. Open floor plan with tons of natural lighting. The kitchen was remodeled kitchen that features beautiful cabinets, quartz countertops, newer stainless steel appliances, a new microwave. A/C was replaced in 2017. Newer windows. Hardwood flooring. Finished basement perfect for entertaining. A large deck that leads to a fenced backyard. Within minutes to downtown Minneapolis and walking distance to public transportation. Easy access to the freeway. You don't want to miss out on this one! Quick closing available!",44.932605,1886,-93.261584,266900,https://www.zillow.com/homedetails/3848-Elliot-Ave-Minneapolis-MN-55407/1790933_zpid/,1919,"Bancroft, Minneapolis"
37,4123 18th Ave S,55407,3,3,"Interior designer and architect inspired renovation of this charming 1924 home with focus on maintaining original character & charm. Spacious, open main floor has gorgeous woodwork, buffet & wood floors. Well appointed kitchen with soapstone counters, stainless appliances. Two generous junior bedrooms, full bath & darling front porch complete the first floor.  The expansion space was built to create a dreamy owner's suite complete with generous bedroom, vaulted ceiling and sky-lite that creates a magical feel, sitting area, award-winning 3/4 bath,  walk-in closet and lots of storage. The lower level remodel provides a large, family room, flex space ideal for an office or exercise room, 3/4 bath and laundry.  The charming backyard has a great deck, fenced yard, gardens.  Enjoy a BBQ, listen to live concerts from neighborhood studio or simply relax.  Prime Minneapolis location near lakes, parks and restaurants.",44.927884999999996,2592,-93.248242,465000,https://www.zillow.com/homedetails/4123-18th-Ave-S-Minneapolis-MN-55407/1790753_zpid/,1924,"Bancroft, Minneapolis"
38,4001 Elliot Ave,55407,1,3,"This adorable home has so much to offer! Step in the front door from the gorgeous tree lined Elliot Ave to a spacious entry room, a rarity for city living! You'll immediately notice the beautiful hardwood floors and original woodwork and built-ins throughout the home! The newly remodeled kitchen offers all the updates you'll need, from top of the line stainless appliances including a double oven as well as beautiful quartz counter-tops! Head upstairs to three bedrooms with ample closet space and a freshly remodeled bathroom. If you're looking for more space, the basement is a blank slate, ready for you to add square footage. For now, though, you'll find a great place for storage, updated laundry machines, and a high efficient furnace. Conveniently located on a bike boulevard, hop on your bike and enjoy the many shops, restaurants, and lakes nearby!",44.930399,1393,-93.260979,285000,https://www.zillow.com/homedetails/4001-Elliot-Ave-Minneapolis-MN-55407/1791553_zpid/,1917,"Bancroft, Minneapolis"
39,4116 13th Ave S,55407,2,3,"This 977 square foot single family home has 3 bedrooms and 2.0 bathrooms. It is located at 4116 13th Ave S Minneapolis, Minnesota.",44.928046,977,-93.256546,290816,https://www.zillow.com/homedetails/4116-13th-Ave-S-Minneapolis-MN-55407/1790414_zpid/,1949,"Bancroft, Minneapolis"
40,3849 10th Ave S,55407,2,3,"This 1452 square foot single family home has 3 bedrooms and 2.0 bathrooms. It is located at 3849 10th Ave S Minneapolis, Minnesota.",44.932609,1452,-93.259608,342315,https://www.zillow.com/homedetails/3849-10th-Ave-S-Minneapolis-MN-55407/1790883_zpid/,1959,"Bancroft, Minneapolis"
41,3816 Cedar Ave S,55407,3,4,Coming Soon in November2019,44.933456,1918,-93.24773499999999,362469,https://www.zillow.com/homedetails/3816-Cedar-Ave-S-Minneapolis-MN-55407/1790007_zpid/,1913,"Bancroft, Minneapolis"
42,3824 10th Ave S,55407,2,3,"This 1585 square foot single family home has 3 bedrooms and 2.0 bathrooms. It is located at 3824 10th Ave S Minneapolis, Minnesota.",44.933308000000004,1585,-93.260347,298317,https://www.zillow.com/homedetails/3824-10th-Ave-S-Minneapolis-MN-55407/1790901_zpid/,1911,"Bancroft, Minneapolis"
